Sort,Season,Agency,Date,Time,Station ID,Field rep,Depth (m),Time (seconds),Descent rate (m/s),Temperature (øC),Conductivity (S/m),Salinity (psu),Density (kg/m?),pH (pH units),Dissolved Oxygen (mg/L),Oxygen Saturation (mg/L),Oxygen Saturation (%),Light Transmission (%),Beam C (1/m),Chlorophyll-a (æg/L) WET,Chlorophyll-a Voltage (V) WET,Chlorophyll-a (æg/L) ECO,Chlorophyll-a Voltage (V) ECO,CDOM (ug/L) WET,CDOM Voltage (V) WET,CDOM (ug/L) ECO,CDOM Voltage (V) ECO,CDOM (ug/L) Turner,CDOM Voltage (V) Turner,Surface Irradiance (æE/cmýúsec),Irradiance (æE/cmýúsec),Normalized Irradiance (%),delta-T (øC/m),Stability (kg/m?/m),Qual_NH3,Ammonia-N (mg/L),Qual_TC,Total coliforms (MPN/100mL),Qual_FC,Fecal coliforms (MPN/100mL),Qual_EC,E. coli (MPN/100mL),Qual_ENT,Enterococci (MPN/100mL),Disacrete Chl-a (ug/L)
111,Winter,Oxnard,02/06/2016,07:57,4706,1,17.0,109.1,0.88,14.20,4.058,33.560,25.034,8.12,7.27,8.34,87.19,72.37,1.294,0.16,1.5474,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
112,Winter,Oxnard,02/06/2016,07:57,4706,1,18.0,110.7,0.98,14.20,4.058,33.560,25.034,8.12,7.26,8.34,87.06,72.97,1.261,0.16,1.5268,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
113,Winter,Oxnard,02/06/2016,07:57,4706,1,19.0,112.3,0.91,14.20,4.058,33.560,25.034,8.12,7.29,8.34,87.38,71.45,1.345,0.16,1.4859,,,0.03,,,,,,,,,0.01,0.001,,,,,,,,,,,
114,Winter,Oxnard,02/06/2016,07:57,4706,1,20.0,113.8,0.96,14.19,4.058,33.560,25.035,8.13,7.25,8.34,86.96,68.98,1.486,0.15,1.4515,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
115,Winter,Oxnard,02/06/2016,07:57,4706,1,21.0,115.2,1.06,14.19,4.058,33.561,25.036,8.13,7.23,8.34,86.69,68.53,1.512,0.15,1.4604,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
116,Winter,Oxnard,02/06/2016,07:57,4706,1,22.0,116.8,0.81,14.19,4.058,33.561,25.036,8.12,7.25,8.34,86.86,68.58,1.509,0.16,1.5143,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
117,Winter,Oxnard,02/06/2016,07:57,4706,1,23.0,118.4,1.10,14.19,4.058,33.561,25.037,8.12,7.24,8.34,86.84,67.75,1.558,0.16,1.5270,,,0.03,,,,,,,,,0.01,0.002,,,,,,,,,,,
118,Winter,Oxnard,02/06/2016,07:57,4706,1,24.0,119.8,0.97,14.18,4.057,33.562,25.039,8.12,7.25,8.34,86.94,67.29,1.584,0.16,1.5494,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
119,Winter,Oxnard,02/06/2016,07:57,4706,1,25.0,121.6,0.78,14.18,4.057,33.562,25.039,8.12,7.22,8.34,86.59,68.12,1.536,0.16,1.5348,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
120,Winter,Oxnard,02/06/2016,07:57,4706,1,26.0,123.3,0.93,14.18,4.057,33.563,25.039,8.12,7.28,8.34,87.23,69.16,1.475,0.16,1.5050,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
121,Winter,Oxnard,02/06/2016,07:57,4706,1,27.0,124.6,0.66,14.18,4.057,33.563,25.040,8.12,7.31,8.34,87.58,69.69,1.445,0.16,1.5019,,,0.03,,,,,,,,,,,,,,,,,,,,,
122,Winter,Oxnard,02/06/2016,09:49,4601,1,1.0,78.0,0.91,13.74,4.019,33.600,25.160,8.09,7.08,8.41,84.11,44.24,3.561,0.17,1.7356,,,0.02,,,,,,,,,0.03,0.005,,,,,,,,,,,
123,Winter,Oxnard,02/06/2016,09:49,4601,1,2.0,79.2,0.94,13.71,4.016,33.599,25.165,8.09,7.06,8.42,83.81,49.67,2.837,0.16,1.5186,,,0.03,,,,,,,,,0.03,0.005,,,,,,,,,,,
124,Winter,Oxnard,02/06/2016,09:49,4601,1,3.0,80.6,1.09,13.68,4.013,33.598,25.170,8.09,7.06,8.42,83.78,51.70,2.642,0.14,1.2829,,,0.04,,,,,,,,,0.02,0.003,,,,,,,,,,,
125,Winter,Oxnard,02/06/2016,09:49,4601,1,4.0,82.0,1.06,13.66,4.011,33.596,25.173,8.09,7.02,8.43,83.30,53.82,2.480,0.13,1.1963,,,0.03,,,,,,,,,0.01,0.002,,,,,,,,,,,
126,Winter,Oxnard,02/06/2016,09:49,4601,1,5.0,83.5,0.90,13.65,4.010,33.595,25.175,8.09,7.03,8.43,83.41,56.40,2.292,0.15,1.4331,,,0.03,,,,,,,,,0.02,0.002,,,,,,,,,,,
127,Winter,Oxnard,02/06/2016,09:49,4601,1,6.0,84.8,0.44,13.63,4.008,33.595,25.177,8.09,7.01,8.43,83.11,57.39,2.221,0.18,1.8344,,,0.03,,,,,,,,,,,,,,,,,,,,,
128,Winter,Oxnard,02/06/2016,09:59,4602,1,1.0,84.3,0.94,13.81,4.025,33.591,25.137,8.11,7.16,8.40,85.18,60.81,2.216,0.17,1.6714,,,0.03,,,,,,,,,0.02,0.005,,,,,,,,,,,
129,Winter,Oxnard,02/06/2016,09:59,4602,1,2.0,85.3,1.17,13.79,4.022,33.591,25.142,8.11,7.13,8.40,84.84,66.64,1.656,0.16,1.5651,,,0.03,,,,,,,,,0.02,0.003,,,,,,,,,,,
130,Winter,Oxnard,02/06/2016,09:59,4602,1,3.0,86.6,1.10,13.77,4.021,33.591,25.145,8.11,7.16,8.41,85.09,67.11,1.598,0.15,1.4222,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
131,Winter,Oxnard,02/06/2016,09:59,4602,1,4.0,87.9,1.10,13.77,4.021,33.591,25.146,8.11,7.17,8.41,85.26,67.06,1.598,0.14,1.3320,,,0.03,,,,,,,,,0.02,0.003,,,,,,,,,,,
132,Winter,Oxnard,02/06/2016,09:59,4602,1,5.0,89.3,1.07,13.75,4.019,33.591,25.149,8.11,7.13,8.41,84.79,67.00,1.602,0.15,1.4535,,,0.03,,,,,,,,,0.01,0.002,,,,,,,,,,,
133,Winter,Oxnard,02/06/2016,09:59,4602,1,6.0,90.7,1.01,13.74,4.018,33.590,25.151,8.11,7.10,8.41,84.41,66.97,1.604,0.18,1.7585,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
134,Winter,Oxnard,02/06/2016,09:59,4602,1,7.0,92.0,1.17,13.74,4.018,33.590,25.151,8.11,7.10,8.41,84.33,66.79,1.615,0.21,2.1489,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
135,Winter,Oxnard,02/06/2016,09:59,4602,1,8.0,93.3,1.10,13.74,4.018,33.590,25.152,8.11,7.09,8.41,84.25,66.82,1.613,0.23,2.5310,,,0.03,,,,,,,,,0.01,0.001,,,,,,,,,,,
136,Winter,Oxnard,02/06/2016,09:59,4602,1,9.0,94.6,1.07,13.73,4.017,33.590,25.153,8.11,7.05,8.41,83.72,66.93,1.606,0.26,2.8936,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
137,Winter,Oxnard,02/06/2016,09:59,4602,1,10.0,96.0,1.04,13.73,4.017,33.591,25.154,8.11,7.05,8.41,83.75,66.98,1.603,0.27,3.0654,,,0.03,,,,,,,,,0.01,0.003,,,,,,,,,,,
138,Winter,Oxnard,02/06/2016,09:59,4602,1,11.0,97.3,0.62,13.72,4.016,33.591,25.157,8.10,7.09,8.42,84.26,66.93,1.606,0.28,3.1001,,,0.03,,,,,,,,,,,,,,,,,,,,,
139,Winter,Oxnard,02/06/2016,10:10,4603,1,1.0,86.5,0.87,14.04,4.045,33.586,25.086,8.13,7.39,8.36,88.31,63.87,2.035,0.15,1.4157,,,0.04,,,,,,,,,0.03,0.006,,,,,,,,,,,
140,Winter,Oxnard,02/06/2016,10:10,4603,1,2.0,87.6,1.05,14.01,4.043,33.586,25.092,8.13,7.40,8.37,88.44,71.05,1.400,0.14,1.2790,,,0.03,,,,,,,,,0.02,0.004,,,,,,,,,,,
141,Winter,Oxnard,02/06/2016,10:10,4603,1,3.0,88.9,1.11,13.99,4.041,33.585,25.096,8.13,7.40,8.37,88.31,71.85,1.324,0.13,1.1359,,,0.03,,,,,,,,,0.02,0.005,,,,,,,,,,,
142,Winter,Oxnard,02/06/2016,10:10,4603,1,4.0,90.3,1.02,13.97,4.039,33.585,25.101,8.13,7.41,8.37,88.50,71.62,1.335,0.12,1.0596,,,0.03,,,,,,,,,0.02,0.003,,,,,,,,,,,
143,Winter,Oxnard,02/06/2016,10:10,4603,1,5.0,91.8,1.04,13.95,4.037,33.585,25.104,8.13,7.42,8.38,88.50,71.41,1.347,0.13,1.1162,,,0.03,,,,,,,,,0.01,0.001,,,,,,,,,,,
144,Winter,Oxnard,02/06/2016,10:10,4603,1,6.0,93.2,1.01,13.94,4.037,33.584,25.105,8.13,7.38,8.38,88.03,71.37,1.349,0.15,1.3525,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
145,Winter,Oxnard,02/06/2016,10:10,4603,1,7.0,94.6,1.03,13.94,4.036,33.584,25.106,8.13,7.35,8.38,87.69,71.33,1.351,0.18,1.7503,,,0.03,,,,,,,,,0.01,0.001,,,,,,,,,,,
146,Winter,Oxnard,02/06/2016,10:10,4603,1,8.0,96.1,0.94,13.93,4.036,33.584,25.107,8.13,7.32,8.38,87.28,71.33,1.351,0.21,2.2759,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
147,Winter,Oxnard,02/06/2016,10:10,4603,1,9.0,97.6,1.07,13.93,4.036,33.584,25.108,8.13,7.32,8.38,87.33,71.42,1.346,0.25,2.7837,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
148,Winter,Oxnard,02/06/2016,10:10,4603,1,10.0,98.9,0.97,13.93,4.035,33.585,25.108,8.13,7.31,8.38,87.16,71.54,1.340,0.28,3.1586,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
149,Winter,Oxnard,02/06/2016,10:10,4603,1,11.0,100.5,0.95,13.93,4.035,33.585,25.109,8.13,7.32,8.38,87.33,71.77,1.327,0.30,3.4175,,,0.03,,,,,,,,,0.01,0.000,,,,,,,,,,,
150,Winter,Oxnard,02/06/2016,10:10,4603,1,12.0,102.0,1.04,13.92,4.035,33.584,25.109,8.13,7.28,8.38,86.79,71.71,1.330,0.31,3.5720,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
151,Winter,Oxnard,02/06/2016,10:10,4603,1,13.0,103.5,0.96,13.92,4.035,33.584,25.110,8.13,7.10,8.38,84.66,71.97,1.316,0.31,3.6086,,,0.03,,,,,,,,,0.01,0.002,,,,,,,,,,,
152,Winter,Oxnard,02/06/2016,10:10,4603,1,14.0,104.9,1.11,13.91,4.034,33.584,25.112,8.13,6.87,8.38,81.86,72.42,1.291,0.31,3.5875,,,0.03,,,,,,,,,0.06,0.014,,,,,,,,,,,
153,Winter,Oxnard,02/06/2016,10:10,4603,1,15.0,106.3,1.01,13.85,4.028,33.586,25.126,8.12,6.92,8.39,82.39,72.27,1.299,0.30,3.4887,,,0.03,,,,,,,,,0.10,0.023,,,,,,,,,,,
154,Winter,Oxnard,02/06/2016,10:10,4603,1,16.0,107.4,0.55,13.75,4.019,33.589,25.149,8.11,7.10,8.41,84.37,70.19,1.417,0.29,3.2867,,,0.03,,,,,,,,,,,,,,,,,,,,,
155,Winter,Oxnard,02/06/2016,10:26,4604,1,1.0,85.7,0.73,14.26,4.066,33.582,25.037,8.15,7.70,8.32,92.50,76.55,1.069,0.17,1.6861,,,0.03,,,,,,,,,0.05,0.011,,,,,,,,,,,
156,Winter,Oxnard,02/06/2016,10:26,4604,1,2.0,86.9,0.94,14.21,4.061,33.582,25.048,8.15,7.66,8.33,91.88,76.02,1.097,0.16,1.5469,,,0.03,,,,,,,,,0.03,0.004,,,,,,,,,,,
157,Winter,Oxnard,02/06/2016,10:26,4604,1,3.0,88.3,1.11,14.18,4.059,33.581,25.052,8.15,7.70,8.34,92.30,75.17,1.141,0.15,1.3562,,,0.03,,,,,,,,,0.01,0.004,,,,,,,,,,,
158,Winter,Oxnard,02/06/2016,10:26,4604,1,4.0,89.8,0.90,14.17,4.057,33.581,25.056,8.15,7.73,8.34,92.58,74.99,1.151,0.14,1.2715,,,0.03,,,,,,,,,0.01,0.002,,,,,,,,,,,
159,Winter,Oxnard,02/06/2016,10:26,4604,1,5.0,91.4,0.96,14.16,4.056,33.581,25.058,8.15,7.72,8.34,92.46,75.01,1.150,0.15,1.4367,,,0.03,,,,,,,,,0.01,0.002,,,,,,,,,,,
160,Winter,Oxnard,02/06/2016,10:26,4604,1,6.0,92.8,1.14,14.15,4.055,33.581,25.060,8.15,7.67,8.34,91.86,75.06,1.147,0.17,1.7020,,,0.03,,,,,,,,,0.01,0.001,,,,,,,,,,,
161,Winter,Oxnard,02/06/2016,10:26,4604,1,7.0,94.1,1.03,14.14,4.055,33.581,25.061,8.15,7.67,8.34,91.88,75.14,1.143,0.19,1.9845,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
162,Winter,Oxnard,02/06/2016,10:26,4604,1,8.0,95.6,1.01,14.14,4.054,33.581,25.062,8.15,7.61,8.34,91.11,75.28,1.136,0.22,2.3707,,,0.03,,,,,,,,,0.01,0.001,,,,,,,,,,,
163,Winter,Oxnard,02/06/2016,10:26,4604,1,9.0,97.0,1.04,14.13,4.054,33.581,25.063,8.15,7.56,8.35,90.51,75.32,1.134,0.26,2.9099,,,0.03,,,,,,,,,0.01,0.002,,,,,,,,,,,
164,Winter,Oxnard,02/06/2016,10:26,4604,1,10.0,98.4,1.09,14.12,4.053,33.580,25.065,8.15,7.55,8.35,90.37,75.31,1.134,0.30,3.4264,,,0.03,,,,,,,,,0.01,0.002,,,,,,,,,,,
165,Winter,Oxnard,02/06/2016,10:26,4604,1,11.0,99.9,0.93,14.11,4.052,33.580,25.067,8.15,7.58,8.35,90.74,75.40,1.129,0.33,3.8316,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
166,Winter,Oxnard,02/06/2016,10:26,4604,1,12.0,101.4,1.08,14.11,4.052,33.580,25.067,8.15,7.57,8.35,90.62,75.80,1.108,0.35,4.0644,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
167,Winter,Oxnard,02/06/2016,10:26,4604,1,13.0,102.6,1.16,14.11,4.052,33.581,25.068,8.15,7.42,8.35,88.80,75.96,1.100,0.35,4.0476,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
168,Winter,Oxnard,02/06/2016,10:26,4604,1,14.0,104.1,0.92,14.11,4.052,33.581,25.068,8.15,7.18,8.35,85.97,76.17,1.089,0.33,3.8939,,,0.03,,,,,,,,,0.04,0.007,,,,,,,,,,,
169,Winter,Oxnard,02/06/2016,10:26,4604,1,15.0,105.6,1.11,14.07,4.048,33.579,25.075,8.14,7.06,8.36,84.37,76.65,1.064,0.33,3.8230,,,0.03,,,,,,,,,0.09,0.016,,,,,,,,,,,
170,Winter,Oxnard,02/06/2016,10:26,4604,1,16.0,106.9,1.00,13.98,4.040,33.577,25.091,8.13,6.97,8.37,83.23,76.10,1.093,0.33,3.7794,,,0.03,,,,,,,,,0.05,0.010,,,,,,,,,,,
171,Winter,Oxnard,02/06/2016,10:26,4604,1,17.0,108.4,0.94,13.93,4.035,33.576,25.101,8.12,7.08,8.38,84.39,72.72,1.277,0.30,3.4022,,,0.03,,,,,,,,,0.05,0.014,,,,,,,,,,,
172,Winter,Oxnard,02/06/2016,10:26,4604,1,18.0,109.3,0.46,13.88,4.030,33.579,25.115,8.12,7.17,8.39,85.39,69.99,1.429,0.27,3.0351,,,0.03,,,,,,,,,,,,,,,,,,,,,
173,Winter,Oxnard,02/06/2016,10:43,4605,1,1.0,86.3,0.90,14.41,4.079,33.565,24.991,8.15,7.54,8.30,90.78,78.21,1.036,0.09,0.6559,,,0.02,,,,,,,,,0.05,0.010,,,,,,,,,,,
174,Winter,Oxnard,02/06/2016,10:43,4605,1,2.0,87.4,1.01,14.36,4.074,33.564,25.001,8.15,7.53,8.31,90.61,82.03,0.800,0.09,0.5953,,,0.03,,,,,,,,,0.04,0.010,,,,,,,,,,,
175,Winter,Oxnard,02/06/2016,10:43,4605,1,3.0,88.8,1.10,14.32,4.069,33.563,25.011,8.15,7.53,8.31,90.51,82.31,0.779,0.09,0.5567,,,0.02,,,,,,,,,0.02,0.004,,,,,,,,,,,
176,Winter,Oxnard,02/06/2016,10:43,4605,1,4.0,90.2,1.02,14.30,4.067,33.563,25.015,8.15,7.52,8.32,90.40,81.99,0.795,0.09,0.5603,,,0.02,,,,,,,,,0.01,0.001,,,,,,,,,,,
177,Winter,Oxnard,02/06/2016,10:43,4605,1,5.0,91.6,1.04,14.29,4.067,33.562,25.016,8.15,7.54,8.32,90.61,81.80,0.804,0.09,0.6123,,,0.02,,,,,,,,,0.00,0.001,,,,,,,,,,,
178,Winter,Oxnard,02/06/2016,10:43,4605,1,6.0,93.1,1.01,14.29,4.066,33.562,25.017,8.15,7.59,8.32,91.12,81.66,0.811,0.10,0.7134,,,0.03,,,,,,,,,0.01,0.001,,,,,,,,,,,
179,Winter,Oxnard,02/06/2016,10:43,4605,1,7.0,94.6,0.97,14.28,4.066,33.562,25.018,8.15,7.55,8.32,90.67,81.64,0.812,0.11,0.8031,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
180,Winter,Oxnard,02/06/2016,10:43,4605,1,8.0,96.1,0.91,14.28,4.066,33.563,25.019,8.15,7.55,8.32,90.63,81.66,0.810,0.11,0.9124,,,0.02,,,,,,,,,0.01,0.001,,,,,,,,,,,
181,Winter,Oxnard,02/06/2016,10:43,4605,1,9.0,97.7,0.96,14.27,4.065,33.563,25.020,8.15,7.52,8.32,90.23,81.64,0.812,0.12,1.0427,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
182,Winter,Oxnard,02/06/2016,10:43,4605,1,10.0,99.2,0.96,14.27,4.065,33.563,25.021,8.15,7.55,8.32,90.66,81.62,0.812,0.13,1.1746,,,0.03,,,,,,,,,0.01,0.001,,,,,,,,,,,
183,Winter,Oxnard,02/06/2016,10:43,4605,1,11.0,100.7,0.97,14.26,4.064,33.563,25.022,8.15,7.57,8.32,90.88,81.65,0.811,0.14,1.3290,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
184,Winter,Oxnard,02/06/2016,10:43,4605,1,12.0,102.1,1.07,14.26,4.064,33.563,25.023,8.15,7.56,8.32,90.69,81.67,0.810,0.16,1.5196,,,0.02,,,,,,,,,0.00,0.001,,,,,,,,,,,
185,Winter,Oxnard,02/06/2016,10:43,4605,1,13.0,103.4,1.18,14.26,4.064,33.563,25.024,8.15,7.54,8.33,90.46,81.65,0.811,0.17,1.6667,,,0.02,,,,,,,,,0.01,0.001,,,,,,,,,,,
186,Winter,Oxnard,02/06/2016,10:43,4605,1,14.0,104.7,1.14,14.25,4.064,33.564,25.025,8.15,7.52,8.33,90.20,81.61,0.813,0.18,1.7943,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
187,Winter,Oxnard,02/06/2016,10:43,4605,1,15.0,106.1,1.04,14.25,4.063,33.564,25.026,8.15,7.50,8.33,90.00,81.62,0.812,0.19,1.9363,,,0.03,,,,,,,,,0.01,0.002,,,,,,,,,,,
188,Winter,Oxnard,02/06/2016,10:43,4605,1,16.0,107.5,1.01,14.24,4.063,33.564,25.028,8.15,7.50,8.33,89.98,81.66,0.811,0.20,2.0562,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
189,Winter,Oxnard,02/06/2016,10:43,4605,1,17.0,109.0,0.93,14.24,4.063,33.565,25.029,8.15,7.52,8.33,90.19,81.74,0.807,0.21,2.1498,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
190,Winter,Oxnard,02/06/2016,10:43,4605,1,18.0,110.6,0.98,14.24,4.063,33.565,25.029,8.15,7.49,8.33,89.86,81.78,0.805,0.21,2.2627,,,0.03,,,,,,,,,0.01,0.001,,,,,,,,,,,
191,Winter,Oxnard,02/06/2016,10:43,4605,1,19.0,111.9,1.15,14.23,4.062,33.565,25.030,8.15,7.48,8.33,89.81,81.78,0.805,0.22,2.3379,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
192,Winter,Oxnard,02/06/2016,10:43,4605,1,20.0,113.3,1.09,14.23,4.062,33.566,25.031,8.15,7.48,8.33,89.77,81.82,0.803,0.22,2.4153,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
193,Winter,Oxnard,02/06/2016,10:43,4605,1,21.0,114.7,0.97,14.23,4.062,33.566,25.032,8.15,7.47,8.33,89.59,81.85,0.801,0.23,2.4443,,,0.03,,,,,,,,,0.01,0.002,,,,,,,,,,,
194,Winter,Oxnard,02/06/2016,10:43,4605,1,22.0,116.0,0.59,14.22,4.061,33.567,25.034,8.15,7.47,8.33,89.56,81.98,0.795,0.23,2.4206,,,0.03,,,,,,,,,,,,,,,,,,,,,
195,Winter,Oxnard,02/06/2016,11:05,4606,1,1.0,107.9,0.91,14.46,4.080,33.544,24.967,8.16,7.55,8.29,90.96,68.06,2.365,0.08,0.5050,,,0.19,,,,,,,,,0.01,0.001,,,,,,,,,,,
196,Winter,Oxnard,02/06/2016,11:05,4606,1,2.0,109.1,0.92,14.45,4.080,33.544,24.968,8.16,7.56,8.29,91.03,81.55,0.929,0.08,0.4932,,,0.06,,,,,,,,,0.05,0.012,,,,,,,,,,,
197,Winter,Oxnard,02/06/2016,11:05,4606,1,3.0,110.6,1.05,14.40,4.075,33.546,24.980,8.16,7.52,8.30,90.48,84.17,0.694,0.08,0.4711,,,0.03,,,,,,,,,0.05,0.009,,,,,,,,,,,
198,Winter,Oxnard,02/06/2016,11:05,4606,1,4.0,112.1,0.96,14.35,4.071,33.544,24.989,8.16,7.49,8.31,90.09,84.15,0.690,0.08,0.4701,,,0.03,,,,,,,,,0.02,0.004,,,,,,,,,,,
199,Winter,Oxnard,02/06/2016,11:05,4606,1,5.0,113.6,1.04,14.33,4.068,33.543,24.993,8.16,7.49,8.31,90.06,83.94,0.700,0.08,0.4839,,,0.03,,,,,,,,,0.01,0.002,,,,,,,,,,,
200,Winter,Oxnard,02/06/2016,11:05,4606,1,6.0,115.0,1.04,14.32,4.067,33.543,24.995,8.16,7.55,8.32,90.69,83.78,0.708,0.09,0.5298,,,0.02,,,,,,,,,0.01,0.002,,,,,,,,,,,
201,Winter,Oxnard,02/06/2016,11:05,4606,1,7.0,116.4,1.02,14.31,4.066,33.543,24.997,8.16,7.54,8.32,90.60,83.70,0.712,0.09,0.5898,,,0.02,,,,,,,,,0.02,0.004,,,,,,,,,,,
202,Winter,Oxnard,02/06/2016,11:05,4606,1,8.0,117.8,1.06,14.29,4.065,33.544,25.001,8.16,7.48,8.32,89.85,83.69,0.712,0.09,0.6599,,,0.02,,,,,,,,,0.02,0.006,,,,,,,,,,,
203,Winter,Oxnard,02/06/2016,11:05,4606,1,9.0,119.1,1.09,14.27,4.063,33.545,25.007,8.16,7.44,8.32,89.36,83.64,0.715,0.10,0.7360,,,0.03,,,,,,,,,0.02,0.006,,,,,,,,,,,
204,Winter,Oxnard,02/06/2016,11:05,4606,1,10.0,120.5,1.08,14.25,4.062,33.548,25.013,8.16,7.48,8.33,89.79,83.58,0.718,0.11,0.8226,,,0.03,,,,,,,,,0.01,0.003,,,,,,,,,,,
205,Winter,Oxnard,02/06/2016,11:05,4606,1,11.0,121.9,0.96,14.24,4.061,33.550,25.016,8.15,7.48,8.33,89.74,83.50,0.721,0.11,0.9209,,,0.03,,,,,,,,,0.00,0.002,,,,,,,,,,,
206,Winter,Oxnard,02/06/2016,11:05,4606,1,12.0,123.4,0.97,14.24,4.061,33.551,25.018,8.15,7.50,8.33,89.98,83.47,0.723,0.12,1.0245,,,0.02,,,,,,,,,0.00,0.001,,,,,,,,,,,
207,Winter,Oxnard,02/06/2016,11:05,4606,1,13.0,124.9,1.07,14.24,4.062,33.553,25.019,8.15,7.48,8.33,89.80,83.42,0.725,0.13,1.1301,,,0.02,,,,,,,,,-0.01,0.000,,,,,,,,,,,
208,Winter,Oxnard,02/06/2016,11:05,4606,1,14.0,126.3,1.03,14.25,4.062,33.554,25.019,8.15,7.43,8.33,89.11,83.22,0.735,0.14,1.2281,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
209,Winter,Oxnard,02/06/2016,11:05,4606,1,15.0,127.6,1.10,14.25,4.062,33.555,25.019,8.15,7.39,8.33,88.65,82.83,0.753,0.14,1.3001,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
210,Winter,Oxnard,02/06/2016,11:05,4606,1,16.0,129.1,1.02,14.25,4.062,33.555,25.020,8.15,7.38,8.33,88.61,82.68,0.761,0.15,1.3696,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
211,Winter,Oxnard,02/06/2016,11:05,4606,1,17.0,130.5,1.03,14.25,4.063,33.556,25.020,8.15,7.40,8.33,88.79,82.58,0.766,0.15,1.4284,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
212,Winter,Oxnard,02/06/2016,11:05,4606,1,18.0,131.9,0.94,14.25,4.063,33.557,25.021,8.15,7.39,8.33,88.67,82.41,0.774,0.16,1.4830,,,0.03,,,,,,,,,0.01,0.001,,,,,,,,,,,
213,Winter,Oxnard,02/06/2016,11:05,4606,1,19.0,133.4,1.00,14.24,4.062,33.557,25.022,8.15,7.38,8.33,88.56,82.32,0.778,0.16,1.5236,,,0.03,,,,,,,,,0.01,0.002,,,,,,,,,,,
214,Winter,Oxnard,02/06/2016,11:05,4606,1,20.0,135.0,0.90,14.23,4.061,33.557,25.024,8.15,7.37,8.33,88.38,82.49,0.770,0.16,1.5252,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
215,Winter,Oxnard,02/06/2016,11:05,4606,1,21.0,136.6,0.86,14.23,4.061,33.557,25.025,8.14,7.37,8.33,88.37,82.73,0.758,0.16,1.5572,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
216,Winter,Oxnard,02/06/2016,11:05,4606,1,22.0,138.3,0.89,14.23,4.061,33.557,25.025,8.14,7.37,8.33,88.36,82.89,0.751,0.16,1.5617,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
217,Winter,Oxnard,02/06/2016,11:05,4606,1,23.0,139.9,0.94,14.23,4.061,33.557,25.025,8.14,7.37,8.33,88.39,82.93,0.749,0.16,1.5610,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
218,Winter,Oxnard,02/06/2016,11:05,4606,1,24.0,141.4,1.01,14.23,4.061,33.558,25.026,8.14,7.36,8.33,88.27,82.88,0.751,0.16,1.5535,,,0.03,,,,,,,,,0.00,-0.001,,,,,,,,,,,
219,Winter,Oxnard,02/06/2016,11:05,4606,1,25.0,142.9,0.99,14.23,4.061,33.557,25.025,8.14,7.34,8.33,88.11,82.84,0.753,0.16,1.5509,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
220,Winter,Oxnard,02/06/2016,11:05,4606,1,26.0,144.3,1.07,14.23,4.061,33.557,25.026,8.14,7.36,8.33,88.28,82.87,0.751,0.16,1.5501,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
